STR	Individuo	RES	D1	D2	D3	D4	D5	D6
509	5	0	0	1	-1	-1	-1	-1
509	5	0	0	1	-1	1	-1	-1
509	5	1	0	1	1	-1	0	1
510	5	0	0	1	1	1	1	0
510	5	1	-1	-1	-1	-1	1	0
510	5	0	-1	-1	-1	1	0	1
511	5	0	-1	-1	1	-1	0	1
511	5	1	-1	-1	-1	1	0	1
511	5	0	0	1	-1	-1	-1	-1
512	5	0	-1	-1	1	1	-1	-1
512	5	1	1	0	1	1	1	0
512	5	0	-1	-1	1	-1	0	1
601	6	0	0	1	-1	1	-1	-1
601	6	0	1	0	1	-1	-1	-1
601	6	1	0	1	1	1	1	0
602	6	0	0	1	1	-1	0	1
602	6	0	1	0	-1	-1	1	0
602	6	1	1	0	1	1	1	0
603	6	1	1	0	-1	-1	1	0
603	6	0	-1	-1	1	-1	0	1
603	6	0	1	0	1	-1	-1	-1
604	6	0	1	0	1	-1	-1	-1
604	6	0	-1	-1	1	1	-1	-1
604	6	1	1	0	-1	-1	1	0
605	6	1	-1	-1	-1	-1	1	0
605	6	0	0	1	1	1	1	0
605	6	0	1	0	-1	1	0	1
606	6	1	1	0	-1	1	0	1
606	6	0	0	1	1	-1	0	1
606	6	0	0	1	-1	1	-1	-1
607	6	1	-1	-1	-1	1	0	1
607	6	0	0	1	-1	-1	-1	-1
607	6	0	-1	-1	1	1	-1	-1
608	6	1	1	0	1	1	1	0
608	6	0	1	0	-1	1	0	1
608	6	0	-1	-1	-1	-1	1	0
609	6	0	0	1	-1	-1	-1	-1
609	6	0	0	1	-1	1	-1	-1
609	6	1	0	1	1	-1	0	1
610	6	0	0	1	1	1	1	0
610	6	1	-1	-1	-1	-1	1	0
610	6	0	-1	-1	-1	1	0	1
611	6	0	-1	-1	1	-1	0	1
611	6	1	-1	-1	-1	1	0	1
611	6	0	0	1	-1	-1	-1	-1
612	6	0	-1	-1	1	1	-1	-1
612	6	1	1	0	1	1	1	0
612	6	0	-1	-1	1	-1	0	1
701	7	0	0	1	-1	1	-1	-1
701	7	0	1	0	1	-1	-1	-1
701	7	1	0	1	1	1	1	0
702	7	0	0	1	1	-1	0	1
702	7	0	1	0	-1	-1	1	0
702	7	1	1	0	1	1	1	0
703	7	1	1	0	-1	-1	1	0
703	7	0	-1	-1	1	-1	0	1
703	7	0	1	0	1	-1	-1	-1
704	7	0	1	0	1	-1	-1	-1
704	7	0	-1	-1	1	1	-1	-1
704	7	1	1	0	-1	-1	1	0
705	7	1	-1	-1	-1	-1	1	0
705	7	0	0	1	1	1	1	0
705	7	0	1	0	-1	1	0	1
706	7	1	1	0	-1	1	0	1
706	7	0	0	1	1	-1	0	1
706	7	0	0	1	-1	1	-1	-1
707	7	1	-1	-1	-1	1	0	1
707	7	0	0	1	-1	-1	-1	-1
707	7	0	-1	-1	1	1	-1	-1
708	7	1	1	0	1	1	1	0
708	7	0	1	0	-1	1	0	1
708	7	0	-1	-1	-1	-1	1	0
709	7	0	0	1	-1	-1	-1	-1
709	7	0	0	1	-1	1	-1	-1
709	7	1	0	1	1	-1	0	1
710	7	0	0	1	1	1	1	0
710	7	1	-1	-1	-1	-1	1	0
710	7	0	-1	-1	-1	1	0	1
711	7	0	-1	-1	1	-1	0	1
711	7	1	-1	-1	-1	1	0	1
711	7	0	0	1	-1	-1	-1	-1
712	7	0	-1	-1	1	1	-1	-1
712	7	1	1	0	1	1	1	0
712	7	0	-1	-1	1	-1	0	1
801	8	0	0	1	-1	1	-1	-1
801	8	0	1	0	1	-1	-1	-1
801	8	1	0	1	1	1	1	0
802	8	0	0	1	1	-1	0	1
802	8	0	1	0	-1	-1	1	0
802	8	1	1	0	1	1	1	0
803	8	1	1	0	-1	-1	1	0
803	8	0	-1	-1	1	-1	0	1
803	8	0	1	0	1	-1	-1	-1
804	8	0	1	0	1	-1	-1	-1
804	8	0	-1	-1	1	1	-1	-1
804	8	1	1	0	-1	-1	1	0
805	8	1	-1	-1	-1	-1	1	0
805	8	0	0	1	1	1	1	0
805	8	0	1	0	-1	1	0	1
806	8	1	1	0	-1	1	0	1
806	8	0	0	1	1	-1	0	1
806	8	0	0	1	-1	1	-1	-1
807	8	1	-1	-1	-1	1	0	1
807	8	0	0	1	-1	-1	-1	-1
807	8	0	-1	-1	1	1	-1	-1
808	8	1	1	0	1	1	1	0
808	8	0	1	0	-1	1	0	1
808	8	0	-1	-1	-1	-1	1	0
809	8	0	0	1	-1	-1	-1	-1
809	8	0	0	1	-1	1	-1	-1
809	8	1	0	1	1	-1	0	1
810	8	0	0	1	1	1	1	0
810	8	1	-1	-1	-1	-1	1	0
810	8	0	-1	-1	-1	1	0	1
811	8	0	-1	-1	1	-1	0	1
811	8	1	-1	-1	-1	1	0	1
811	8	0	0	1	-1	-1	-1	-1
812	8	0	-1	-1	1	1	-1	-1
812	8	1	1	0	1	1	1	0
812	8	0	-1	-1	1	-1	0	1
901	9	0	0	1	-1	1	-1	-1
901	9	1	1	0	1	-1	-1	-1
901	9	0	0	1	1	1	1	0
902	9	0	0	1	1	-1	0	1
902	9	1	1	0	-1	-1	1	0
902	9	0	1	0	1	1	1	0
903	9	0	1	0	-1	-1	1	0
903	9	0	-1	-1	1	-1	0	1
903	9	1	1	0	1	-1	-1	-1
904	9	1	1	0	1	-1	-1	-1
904	9	0	-1	-1	1	1	-1	-1
904	9	0	1	0	-1	-1	1	0
905	9	1	-1	-1	-1	-1	1	0
905	9	0	0	1	1	1	1	0
905	9	0	1	0	-1	1	0	1
906	9	0	1	0	-1	1	0	1
906	9	0	0	1	1	-1	0	1
906	9	1	0	1	-1	1	-1	-1
907	9	0	-1	-1	-1	1	0	1
907	9	1	0	1	-1	-1	-1	-1
907	9	0	-1	-1	1	1	-1	-1
908	9	0	1	0	1	1	1	0
908	9	0	1	0	-1	1	0	1
908	9	1	-1	-1	-1	-1	1	0
909	9	1	0	1	-1	-1	-1	-1
909	9	0	0	1	-1	1	-1	-1
909	9	0	0	1	1	-1	0	1
910	9	0	0	1	1	1	1	0
910	9	1	-1	-1	-1	-1	1	0
910	9	0	-1	-1	-1	1	0	1
911	9	0	-1	-1	1	-1	0	1
911	9	0	-1	-1	-1	1	0	1
911	9	1	0	1	-1	-1	-1	-1
912	9	0	-1	-1	1	1	-1	-1
912	9	0	1	0	1	1	1	0
912	9	1	-1	-1	1	-1	0	1
1001	10	1	0	1	-1	1	-1	-1
1001	10	0	1	0	1	-1	-1	-1
1001	10	0	0	1	1	1	1	0
1002	10	1	0	1	1	-1	0	1
1002	10	0	1	0	-1	-1	1	0
1002	10	0	1	0	1	1	1	0
1003	10	0	1	0	-1	-1	1	0
1003	10	1	-1	-1	1	-1	0	1
1003	10	0	1	0	1	-1	-1	-1
1004	10	0	1	0	1	-1	-1	-1
1004	10	1	-1	-1	1	1	-1	-1
1004	10	0	1	0	-1	-1	1	0
1005	10	0	-1	-1	-1	-1	1	0
1005	10	0	0	1	1	1	1	0
1005	10	1	1	0	-1	1	0	1
1006	10	1	1	0	-1	1	0	1
1006	10	0	0	1	1	-1	0	1
1006	10	0	0	1	-1	1	-1	-1
1007	10	0	-1	-1	-1	1	0	1
1007	10	0	0	1	-1	-1	-1	-1
1007	10	1	-1	-1	1	1	-1	-1
1008	10	0	1	0	1	1	1	0
1008	10	1	1	0	-1	1	0	1
1008	10	0	-1	-1	-1	-1	1	0
1009	10	0	0	1	-1	-1	-1	-1
1009	10	1	0	1	-1	1	-1	-1
1009	10	0	0	1	1	-1	0	1
1010	10	0	0	1	1	1	1	0
1010	10	1	-1	-1	-1	-1	1	0
1010	10	0	-1	-1	-1	1	0	1
1011	10	1	-1	-1	1	-1	0	1
1011	10	0	-1	-1	-1	1	0	1
1011	10	0	0	1	-1	-1	-1	-1
1012	10	1	-1	-1	1	1	-1	-1
1012	10	0	1	0	1	1	1	0
1012	10	0	-1	-1	1	-1	0	1
